15:53:42.791613 ------------------------------------------------------------
15:53:42.791775 Client connecting to 10.0.1.24, UDP port 5001 with pid 130512
15:53:42.791860 Binding to local address 10.60.0.1
15:53:42.791890 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
15:53:42.791921 UDP buffer size:  208 KByte (default)
15:53:42.791971 ------------------------------------------------------------
15:53:42.792002 [  3] local 10.60.0.1 port 49678 connected with 10.0.1.24 port 5001
15:53:42.792032 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
15:53:43.759862 [  3] 0.9798-0.9848 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3072 pps
15:53:43.759872 [  3] 0.9848-0.9898 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3326 pps
15:53:43.759882 [  3] 0.9898-0.9948 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3595 pps
15:53:43.779877 [  3] 0.9948-0.9998 sec  2.54 KBytes  4.16 Mbits/sec  13/0     2719 pps
15:53:43.780229 [  3] 0.9998-1.0048 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3786 pps
15:53:43.780255 [  3] 1.0048-1.0098 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3259 pps
15:53:43.780264 [  3] 1.0098-1.0148 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3261 pps
15:53:43.800304 [  3] 1.0148-1.0198 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3178 pps
15:53:43.800375 [  3] 1.0198-1.0248 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3316 pps
15:53:43.800390 [  3] 1.0248-1.0298 sec  2.54 KBytes  4.16 Mbits/sec  13/0     2660 pps
15:53:43.800403 [  3] 1.0298-1.0348 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3711 pps
15:53:43.821303 [  3] 1.0348-1.0398 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3555 pps
15:53:43.821366 [  3] 1.0398-1.0448 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2634 pps
15:53:43.821379 [  3] 1.0448-1.0498 sec  3.52 KBytes  5.76 Mbits/sec  18/0     4122 pps
